"Host.Id","Host.Since","Name","Neighbourhood","Property.Type","Room.Type","Zipcode","Beds","Number.Of.Reviews","Price","Review.Scores.Rating"
29518263,"3/17/15","Fabulous FULLFLOOR ALLNEW SOHO LOFT","Manhattan","Loft","Entire home/apt",10013,3,0,"699",NA
2326520,"5/8/12","charming studio apt!","Manhattan","Apartment","Entire home/apt",10128,1,3,"130",60
10864587,"12/28/13","West Village 2BR Dream!","Manhattan","Apartment","Entire home/apt",10014,2,40,"350",87
2415588,"5/19/12","Sunny Studio Apt w/ Alcove Bedroom","Manhattan","Apartment","Entire home/apt",10009,1,14,"135",91
11273539,"1/13/14","SUPER BOWL 2014 in TRENDY CHELSEA!","Manhattan","Apartment","Entire home/apt",10011,1,0,"900",NA
19631496,"8/7/14","Million Dollar Listing In NYC","Manhattan","Apartment","Entire home/apt",10019,2,24,"230",84
5283682,"3/1/13","Amazing Chelsea Studio W15th st","Manhattan","Apartment","Entire home/apt",10011,2,2,"260",100
5900209,"4/12/13","Sun Filled Greenwich Village 1BR","Manhattan","Apartment","Entire home/apt",10012,2,0,"169",NA
33275693,"5/13/15","UWS Spacious 2bed/2baths","Manhattan","Apartment","Entire home/apt",10023,2,2,"300",100
18189519,"7/16/14","New!!!  3 BR/ 2 Bth apartment.","Queens","Apartment","Entire home/apt",11360,3,32,"199",96
21745511,"9/24/14","Great value in cool Greenpoint.","Brooklyn","Apartment","Entire home/apt",11222,1,16,"119",94
2748223,"6/26/12","Williamsburg 2BR Apt on Bedford Ave","Brooklyn","Apartment","Entire home/apt",11211,2,21,"145",93
1014775,"8/24/11","Luxurious Garden-Level Apartment","Brooklyn","Apartment","Entire home/apt",11238,1,1,"140",100
11771896,"1/29/14","Near Columbus Circle and subways","Manhattan","Apartment","Entire home/apt",10023,1,1,"130",100
35095754,"6/5/15","Newly renovated 3BR Lower East Side","Manhattan","Apartment","Entire home/apt",10002,4,10,"425",88
414763,"2/28/11","Quiet 1BR on the Park with a Pool!","Brooklyn","Apartment","Entire home/apt",11205,1,14,"139",86
34571042,"5/30/15","diego barber","Manhattan","Apartment","Entire home/apt",10009,1,1,"150",80
22857225,"10/22/14","lots of nightife and restaurants!","Manhattan","Apartment","Entire home/apt",10075,1,1,"125",NA
4630888,"1/8/13","Modern East Village Roof Top 1 Bed","Manhattan","Apartment","Entire home/apt",10003,2,10,"245",100
14902860,"4/29/14","elegant pre war two bedroom flat","Brooklyn","Apartment","Entire home/apt",11221,3,15,"151",77
4275254,"11/28/12","Historic Park Slope Gem - 1br","Brooklyn","Apartment","Entire home/apt",11215,1,27,"185",100
328621,"12/28/10","Spacious Greenpoint 1BD with Patio","Brooklyn","Apartment","Entire home/apt",11222,2,3,"150",100
3607671,"9/18/12","GORGEOUS PARKSIDE BROWNSTONE STUDIO","Brooklyn","Apartment","Entire home/apt",11217,1,2,"125",100
26242167,"1/17/15","GORGEOUS 2br apartment Midtown East","Manhattan","Apartment","Entire home/apt",10016,4,2,"278",90
18318445,"7/18/14","Heart of West Village, Manhattan","Manhattan","Apartment","Entire home/apt",10014,1,2,"169",100
23185328,"10/31/14","Heart of Astoria 15 min to Manhttn","Queens","Apartment","Entire home/apt",11105,1,2,"135",90
137140,"6/2/10","Stylish 1 Bedroom Cobble Hill","Brooklyn","Apartment","Entire home/apt",11231,1,2,"115",100
24660443,"12/9/14","HOUSE SUITE","Brooklyn","Apartment","Entire home/apt",11221,3,5,"120",96
181689,"7/26/10","Spacious 1 bed apartment in Chelsea","Manhattan","Apartment","Entire home/apt",10011,2,30,"280",84
132132,"5/25/10","SPRING SWEET DREAMS NEW APT BALCONY","Manhattan","Apartment","Entire home/apt",10009,1,24,"199",77
421630,"3/3/11","Sunny spacious 1BR in Manhattan UES","Manhattan","Apartment","Entire home/apt",10128,2,13,"129",97
5807450,"4/7/13","Designer's Studio in Harlem","Manhattan","Apartment","Entire home/apt",10037,1,0,"170",NA
40217983,"8/1/15","Beautiful light-filled space!","Brooklyn","House","Entire home/apt",11215,1,1,"86",NA
9903274,"11/9/13","Stunning Apt in NY's Best Location!","Manhattan","Apartment","Entire home/apt",10011,1,29,"350",97
39873151,"7/28/15","Gorgeous & Bright East Village Apt","Manhattan","Apartment","Entire home/apt",10009,1,0,"200",NA
40330519,"8/2/15","Loft in Brooklyn minutes from NYC","Brooklyn","Loft","Entire home/apt",11206,3,5,"125",92
41564373,"8/15/15","Large Chic Apt Near Prospect Park","Brooklyn","Apartment","Entire home/apt",11226,3,0,"150",NA
42160989,"8/21/15","Luxury Duplex for Pope Visit","Brooklyn","Apartment","Entire home/apt",11211,4,0,"2,000",NA
4438960,"12/18/12","Beautiful 1BD in the West Village","Manhattan","Apartment","Entire home/apt",10014,1,37,"235",96
7239685,"7/2/13","Large 1 BR 1/2 block to exp. train","Brooklyn","Apartment","Entire home/apt",11213,2,2,"90",80
7962306,"8/5/13","Brand New Spacious 1BR w/Roof&Yard","Queens","Apartment","Entire home/apt",11103,1,3,"199",93
38761688,"7/17/15","Beautiful 2 bedroom Apartment","Brooklyn","Apartment","Entire home/apt",11211,2,1,"200",NA
2523934,"6/2/12","1Br East Village & next to L train","Manhattan","Apartment","Entire home/apt",10009,1,7,"150",94
2645592,"6/15/12","cozy 2bedroomAPART 10min to MIDTOWN","Queens","Apartment","Entire home/apt",11103,2,47,"130",94
35271,"8/31/09","Upper Eastside Studio Apartment","Manhattan","Apartment","Entire home/apt",10065,2,46,"140",85
19056507,"7/28/14","Sunny, top-floor apt (East Village)","Manhattan","Apartment","Entire home/apt",10003,1,0,"175",NA
23876129,"11/17/14","Modern Studio with Loft in the LES.","Manhattan","Other","Entire home/apt",10002,2,17,"200",98
11461751,"1/19/14","Lovely, new 3 BD Williamsburg loft","Brooklyn","Apartment","Entire home/apt",11211,3,2,"600",100
9735864,"10/31/13","Luxury in Trendy Williamsburg, BK","Brooklyn","Apartment","Entire home/apt",11211,2,0,"300",NA
5768957,"4/4/13","Fab Park Slope garden apt w/ patio","Brooklyn","Apartment","Entire home/apt",11215,2,18,"150",99
17523484,"7/1/14","Cozy Habitat Near Train and Airport","Queens","Apartment","Entire home/apt",11418,1,2,"90",70
26410340,"1/20/15","Spacious Studio w/ Backyard","Brooklyn","Apartment","Entire home/apt",11221,2,35,"98",87
21941065,"9/29/14","Spacious 2-BR, 1 stop from US Open!","Queens","Apartment","Entire home/apt",11377,2,18,"175",96
1775165,"2/19/12","one bedroom east village/bowery","Manhattan","Apartment","Entire home/apt",10003,1,0,"175",NA
296121,"11/22/10","Huge Studio in the heart of NYC","Manhattan","Apartment","Entire home/apt",10001,1,9,"185",98
4279827,"11/29/12","Ocean Hill Oasis","Brooklyn","Apartment","Entire home/apt",11233,3,38,"91",92
3321910,"8/20/12","SoHo / Village Bright Manhattan!","Manhattan","Apartment","Entire home/apt",10003,1,40,"139",88
2487159,"5/28/12","2 Story Huge Penthouse Loft U.E.S.","Manhattan","Apartment","Entire home/apt",10065,3,3,"425",100
2839351,"7/5/12","Adorable UES Apt in Prime Location!","Manhattan","Apartment","Entire home/apt",10075,3,1,"240",80
156450,"7/1/10","THE NICEST DUPLEX IN CHELSEA ! ! !","Manhattan","Apartment","Entire home/apt",10011,1,45,"185",88
3011406,"7/21/12","Entire 3 bedroom loft - L Train!","Brooklyn","Apartment","Entire home/apt",11237,4,48,"240",88
6989825,"6/18/13","Modern Apartment in Brownstone Bkln","Brooklyn","Apartment","Entire home/apt",11231,6,20,"250",96
8923918,"9/18/13","Chelsea Studio in Luxury Building","Manhattan","Apartment","Entire home/apt",10011,1,2,"150",80
571952,"5/9/11","UES Quiet & Spacious 1 bdrm for 4","Manhattan","Apartment","Entire home/apt",10128,2,45,"225",94
32168920,"4/29/15","NYC Luxury Empire State Bldg View","Manhattan","Apartment","Entire home/apt",10016,1,0,"190",NA
710526,"6/16/11","1BR SUBLET in WASHINGTON HEIGHTS","Manhattan","Apartment","Entire home/apt",10033,1,0,"64",NA
10477378,"12/6/13","Luxury1BR with museum pass&bike日本語可","Manhattan","Apartment","Entire home/apt",10075,1,15,"228",95
580878,"5/12/11","HellKitchen,1br,1stFl, outdoor spac","Manhattan","Apartment","Entire home/apt",10036,1,3,"150",90
5107900,"2/16/13","Cute little studio on LES Manhattan","Manhattan","Apartment","Entire home/apt",10002,1,24,"165",95
4480014,"12/24/12","Beautiful new 1 bedroom w/balcony","Brooklyn","Apartment","Entire home/apt",11222,2,3,"150",100
26392130,"1/20/15","Nice apt in Williamsburg","Brooklyn","Apartment","Entire home/apt",11211,1,2,"135",100
24329419,"11/30/14","Brooklyn Apartment in Great Locale","Brooklyn","Apartment","Entire home/apt",11217,1,0,"150",NA
30247261,"3/30/15","NEW 2850 SQ FT SOHO/LittleItaly GEM","Manhattan","Apartment","Entire home/apt",10013,4,0,"999",NA
5091072,"2/14/13","Bright Luxury 1Bedroom East Village","Manhattan","Apartment","Entire home/apt",10009,3,4,"190",87
151150,"6/24/10","Modern Apt: Best View of the City","Brooklyn","Apartment","Entire home/apt",11211,2,3,"150",100
4204890,"11/20/12","Modern 1-bedroom in Harlem Heights","Manhattan","Apartment","Entire home/apt",10031,2,69,"115",92
19447692,"8/4/14","AAA NYC Harlem Luxurious","Manhattan","Apartment","Entire home/apt",10037,5,29,"120",89
14635649,"4/23/14","Modern & Charming E Village 1BR Apt","Manhattan","Apartment","Entire home/apt",10009,2,33,"195",98
35593066,"6/11/15","1 bedroom in the heart of the LES!","Manhattan","Apartment","Entire home/apt",10002,1,1,"195",100
4963486,"2/4/13","Drop-dead fab 2 story best location","Manhattan","Apartment","Entire home/apt",10014,1,7,"400",97
6228548,"5/4/13","Lovely studio in great neighborhood","Manhattan","Apartment","Entire home/apt",10028,1,2,"110",100
1494832,"12/11/11","Charming Chinatown 1 Bedroom","Manhattan","Apartment","Entire home/apt",10002,1,1,"100",NA
17479416,"6/30/14","Romantic 1 bedroom Part2 Harlem USA","Manhattan","House","Entire home/apt",10035,1,15,"125",91
33279,"8/23/09","Heart of the East Village 4E","Manhattan","Apartment","Entire home/apt",10009,2,48,"169",82
21641864,"9/22/14","Manhattan / East village cozy apt","Manhattan","Apartment","Entire home/apt",10009,1,14,"230",88
1400538,"11/13/11","Spacious Apartment in LES!","Manhattan","Apartment","Entire home/apt",10002,1,2,"160",100
1260792,"10/7/11","Cozy empty studio Clinton Hill","Brooklyn","Apartment","Entire home/apt",11205,1,2,"100",100
23502626,"11/8/14","VInegar Hill / DUMBO /Brooklyn Loft","Brooklyn","Apartment","Entire home/apt",11201,2,3,"250",NA
3197762,"8/8/12","1BR aprt in best downtown location","Manhattan","Apartment","Entire home/apt",10014,1,9,"215",100
27841564,"2/16/15","Charming Soho Apartment","Manhattan","Apartment","Entire home/apt",10013,1,1,"225",100
1409854,"11/15/11","Oversized 2 bedroom apartment","Queens","Apartment","Entire home/apt",10075,2,0,"250",NA
14363943,"4/16/14","Cozy Bay Ridge 7min drive to city .","Brooklyn","Apartment","Entire home/apt",11220,1,3,"120",80
25426687,"12/31/14","Sweet South Park Slope Apartment.","Brooklyn","Apartment","Entire home/apt",11215,1,5,"95",96
31239154,"4/14/15","Chic 1-Bedroom in Cozy Clinton Hill","Brooklyn","Apartment","Entire home/apt",11205,1,1,"120",100
6795994,"6/8/13","Beautiful Loft Studio, Fort Greene","Brooklyn","Loft","Entire home/apt",11238,1,1,"165",100
1157127,"9/14/11","Quiet 1 BR in heart of East Village","Manhattan","Apartment","Entire home/apt",10003,1,46,"139",94
29825673,"3/22/15","Chic, Inviting East Village Apt","Manhattan","Apartment","Entire home/apt",10003,1,6,"175",100
4976240,"2/5/13","SPACIOUS CLEAN STUDIO WITH ELEVATOR","Manhattan","Apartment","Entire home/apt",10022,1,0,"125",NA
22261783,"10/7/14","Bright Bed-Stuy Private Apartment","Brooklyn","Apartment","Entire home/apt",11216,2,9,"140",93
26818210,"1/27/15","Large 1br in Astoria 800sqft","Queens","Apartment","Entire home/apt",11105,1,1,"150",100
13920011,"4/5/14","Beautiful Brownstone in Greenpoint","Brooklyn","House","Entire home/apt",11222,6,1,"250",100
23257217,"11/2/14","Cozy One-Bedroom: Great Location!","Manhattan","Apartment","Entire home/apt",10025,2,1,"170",100
872121,"7/26/11","Gorgeous Entire Manhattan Townhouse","Manhattan","House","Entire home/apt",10031,6,23,"199",96
13304917,"3/19/14","Cozy Spot,Central Park & Mt Sinai!","Manhattan","Apartment","Entire home/apt",10029,1,7,"89",97
26909538,"1/29/15","Cozy apartment in Chelsea","Manhattan","Apartment","Entire home/apt",10011,2,2,"300",90
25974544,"1/12/15","GORGEOUS 1BR IN MIDTOWN 1/15-1/19","Manhattan","Apartment","Entire home/apt",10019,1,0,"350",NA
2555556,"6/5/12","Top Floor Doorman Apt-Water Views","Manhattan","Apartment","Entire home/apt",10280,2,4,"225",95
12579916,"2/25/14","Charming Brooklyn Brownstone","Brooklyn","Apartment","Entire home/apt",11217,1,1,"175",97
30118628,"3/27/15","Quirky 2BR in Lower East Side","Manhattan","Apartment","Entire home/apt",10002,2,4,"160",95
7518105,"7/16/13","Beautiful studio by Prospect Park","Brooklyn","Apartment","Entire home/apt",11218,1,39,"98",94
17304702,"6/26/14","Great 1BR apt near Central Park!","Manhattan","Apartment","Entire home/apt",10027,1,6,"140",96
442616,"3/15/11","Amazing Apartment in Williamsburg","Brooklyn","Apartment","Entire home/apt",11211,1,3,"180",93
32300290,"4/30/15","Spacious Apartment on McCarren Park","Brooklyn","Apartment","Entire home/apt",11222,1,1,"175",100
3703398,"9/28/12","WILLIAMSBURG GEM sleeps 5..","Brooklyn","Apartment","Entire home/apt",11206,4,0,"206",NA
17076357,"6/21/14","Spacious New1BR w/Balcony E.VILLAGE","Manhattan","Apartment","Entire home/apt",10009,1,15,"199",100
4873841,"1/28/13","Charming Prospect Heights 1BR","Brooklyn","Apartment","Entire home/apt",11238,2,6,"130",97
16155254,"5/29/14","CLEAN COZY & COMFY E. VILLAGE PAD","Manhattan","Apartment","Entire home/apt",10009,1,0,"165",NA
17739111,"7/6/14","Central Park home away from home","Manhattan","Apartment","Entire home/apt",10026,3,9,"125",95
1687367,"2/2/12","Prospect Park South, Brooklyn","Brooklyn","Apartment","Entire home/apt",11226,1,6,"159",97
15868831,"5/22/14","Stylish Downtown New York Apartment","Manhattan","Apartment","Entire home/apt",10003,2,6,"199",97
8201914,"8/16/13","Bright Lux 1BR in Williamsburg","Brooklyn","Apartment","Entire home/apt",11211,1,2,"234",100
8780729,"9/11/13","Cozy Chelsea Studio","Manhattan","Apartment","Entire home/apt",10011,1,1,"108",NA
100621,"3/29/10","Bright Studio Upper East Side","Manhattan","Apartment","Entire home/apt",10128,1,0,"100",NA
314506,"12/9/10","2BR 2 story LES duplex in manhattan","Manhattan","Apartment","Entire home/apt",10002,2,157,"325",96
21449266,"9/17/14","Large, Sunny 1 BR. Great Location!","Brooklyn","Apartment","Entire home/apt",11222,1,0,"195",NA
803086,"7/10/11","Spacious Duplex in Brownstone!","Manhattan","Apartment","Entire home/apt",10026,4,10,"250",94
18209504,"7/16/14","Door Man Hudson River View Studio","Manhattan","Apartment","Entire home/apt",10069,1,27,"295",100
6134910,"4/28/13","Huge 2br Loft w Elevator/Laundry","Brooklyn","Apartment","Entire home/apt",11249,3,0,"249",NA
7138163,"6/26/13","GORGEOUS SUNNY LOFT w/ 15 WINDOWS","Manhattan","Apartment","Entire home/apt",10002,3,10,"465",97
4540899,"12/31/12","Stuyvesant Heights Townhouse","Brooklyn","Apartment","Entire home/apt",11221,2,14,"129",86
25865233,"1/9/15","Beautiful artist space in hipHarlem","Manhattan","Apartment","Entire home/apt",10027,3,7,"115",100
216191,"8/29/10","2 LOVELY, LRG BRS, GARDEN IN WILL-B","Brooklyn","Apartment","Entire home/apt",11206,1,5,"134",80
38378985,"7/13/15","Brand new apt,20min to Manhattan","Brooklyn","Apartment","Entire home/apt",11213,3,10,"153",96
16973363,"6/18/14","Spacious Studio UES","Manhattan","Apartment","Entire home/apt",10128,1,3,"150",93
39639169,"7/26/15","Classic 1BR Brownstone w/ Backyard","Brooklyn","Apartment","Entire home/apt",11233,2,1,"100",80
15423843,"5/12/14","Amazing Studio,Time Square, Furnish","Manhattan","Apartment","Entire home/apt",10036,1,22,"179",85
36782875,"6/26/15","NEWLY Renovated. True 1 bedroom","Manhattan","Apartment","Entire home/apt",10016,1,0,"215",NA
39150381,"7/21/15","Beautiful Chelsea 3 Bedroom Loft","Manhattan","Apartment","Entire home/apt",10010,3,0,"250",NA
24705035,"12/10/14","Minutes To Manhattan!!","Brooklyn","Apartment","Entire home/apt",11237,3,40,"211",94
4254648,"11/26/12","Fabulous Apt on Seventh Avenue","Manhattan","Apartment","Entire home/apt",10018,1,90,"215",95
2981156,"7/18/12","Amazing Queens Oasis Steps to Train","Queens","Apartment","Entire home/apt",11106,2,4,"135",85
21100941,"9/8/14","Amazing Views DUMBO, Brooklyn NYC","Brooklyn","Apartment","Entire home/apt",11201,1,3,"250",100
6246089,"5/6/13","1BR apt, 25 min to Times Sq.","Queens","Apartment","Entire home/apt",11102,2,7,"110",94
3603284,"9/18/12","Gorgeous 2br/heart of Williamsburg","Brooklyn","Apartment","Entire home/apt",11211,2,9,"185",87
1495502,"12/11/11","E Wburg 1BR  + Shared Kitchen","Brooklyn","Apartment","Entire home/apt",11206,1,42,"88",83
38911527,"7/19/15","1 BR on 24th Fl w/Amazing Views!","Manhattan","Apartment","Entire home/apt",10038,1,2,"125",100
1805039,"2/24/12","LUXURY SUITE IN DOWNTOWN MANHATTAN","Manhattan","Apartment","Entire home/apt",10005,2,6,"645",84
16598048,"6/10/14","specious 1bd apt on Saint Marks Pl","Manhattan","Apartment","Entire home/apt",10003,2,1,"220",100
1497400,"12/12/11","Multi Room Studio near Prospect Pk.","Brooklyn","Apartment","Entire home/apt",11225,1,1,"90",NA
35336625,"6/8/15","Columbus Circle 2BR! - New/Clean","Manhattan","Apartment","Entire home/apt",10023,4,6,"309",77
3843289,"10/11/12","Clean and comfortable 1 Brdm","Brooklyn","Apartment","Entire home/apt",11238,1,0,"125",NA
893419,"7/30/11","Newly renovated 3 BDR w 700'terrace","Manhattan","Apartment","Entire home/apt",10002,3,3,"310",100
2117078,"4/11/12","1 br. duplex, Park Slope, Brooklyn","Brooklyn","Apartment","Entire home/apt",11215,1,42,"140",91
23408295,"11/6/14","Sunny & Spacious 1 Br Apt.","Manhattan","Apartment","Entire home/apt",10033,2,9,"150",98
39433459,"7/24/15","Private studio master kitchen,bath.","Brooklyn","Apartment","Entire home/apt",11218,1,0,"165",NA
10675384,"12/17/13","1 BR Beautiful Central Williamsburg","Brooklyn","Apartment","Entire home/apt",11249,1,10,"130",93
11552512,"1/22/14","spacious bright 1 bdrm. apt","Queens","Apartment","Entire home/apt",11104,2,3,"100",100
72808,"1/23/10","Coney island Entire Apt Safari Wi F","Brooklyn","Apartment","Entire home/apt",NA,2,83,"105",90
42073103,"8/20/15","Lovely, kitschy 1BR + Foldout Couch","Queens","Apartment","Entire home/apt",11106,2,1,"105",100
1580711,"1/8/12","Charming 1BD in Lovely Clinton Hill","Brooklyn","Apartment","Entire home/apt",11238,2,3,"124",100
31569718,"4/20/15","Bright Luxury 1BR Doorman Apt","Manhattan","Apartment","Entire home/apt",10016,1,5,"269",96
14449699,"4/18/14","Specious Quiet Studio with 2 Beds","Manhattan","Apartment","Entire home/apt",10010,2,9,"109",89
16387794,"6/4/14","2BR Between Times Sq & Central Park","Manhattan","Apartment","Entire home/apt",10019,2,94,"180",89
17218010,"6/24/14","Cute studio in a perfect location","Manhattan","Apartment","Entire home/apt",10014,1,0,"150",NA
1323224,"10/22/11","Cool Lower East Side Apartment","Manhattan","Apartment","Entire home/apt",10002,1,0,"200",NA
38378985,"7/13/15","Brand new apt,20min to Manhattan","Brooklyn","Apartment","Entire home/apt",11213,2,8,"153",98
4521447,"12/29/12","Quiet Spacious Studio in Gramercy!","Manhattan","Apartment","Entire home/apt",10010,1,17,"170",86
22589602,"10/15/14","AMAZING HOUSE IN NOLITA AVAILABLE","Manhattan","House","Entire home/apt",10002,1,0,"269",NA
1695734,"2/3/12","FULL 1BR in DUMBO CRAZY PRICE !!!","Brooklyn","Apartment","Entire home/apt",11201,2,3,"150",100
3689829,"9/27/12","Old Brooklyn Charm","Brooklyn","Apartment","Entire home/apt",11238,2,12,"200",98
5519052,"3/18/13","Modern luxury high-rise apartment","Brooklyn","Apartment","Entire home/apt",11201,1,0,"189",NA
221873,"9/2/10","Stylish 1 BR Duplex w/ Terrace","Manhattan","Apartment","Entire home/apt",10002,1,56,"220",94
34547827,"5/29/15","Comfy Home in Brooklyn's finest","Brooklyn","Apartment","Entire home/apt",11212,2,1,"130",100
1832432,"2/29/12","Walk to Central Park & Sleeps 4!","Manhattan","Apartment","Entire home/apt",10029,1,0,"155",NA
107899,"4/13/10","Triplex garden apartment","Brooklyn","Apartment","Entire home/apt",11231,4,4,"425",85
5577008,"3/22/13","Dreamy Garden Level Apartment!","Brooklyn","Apartment","Entire home/apt",11221,1,0,"110",NA
2203885,"4/23/12","Artists Retreat, East-Village, 2Bdr","Manhattan","Apartment","Entire home/apt",10009,2,60,"350",95
8678858,"9/6/13","Sunny & Spacious, Bushwick apt","Brooklyn","Apartment","Entire home/apt",11221,1,0,"155",NA
4176838,"11/17/12","Private Studio Apt in Heart of City","Manhattan","Apartment","Entire home/apt",10016,1,27,"199",86
37338113,"7/2/15","Midtown Luxury 1BR Apt - Labor Day","Manhattan","Apartment","Entire home/apt",10018,1,0,"349",NA
965453,"8/13/11","Tree-lined Street 5 min to Times Sq","Manhattan","Apartment","Entire home/apt",10036,1,75,"95",96
7701933,"7/24/13","Spacious Loft in East Village","Manhattan","Loft","Entire home/apt",10009,1,1,"250",100
4367445,"12/9/12","1 bed lux doorman Tribeca","Manhattan","Apartment","Entire home/apt",10282,1,11,"225",85
8456422,"8/27/13","Luxury Apt w 2 Private Grden Patios","Manhattan","Apartment","Entire home/apt",10011,3,2,"495",90
28590872,"3/1/15","Private - Times Sq/Hell's Kitchen","Manhattan","Apartment","Entire home/apt",10036,1,5,"80",100
5845769,"4/9/13","Charming Executive Suite W/ Jacuzzi","Brooklyn","Apartment","Entire home/apt",11210,1,26,"120",97
4167581,"11/16/12","Serene & Clean West Village Studio","Manhattan","Apartment","Entire home/apt",10014,2,54,"195",98
33379136,"5/14/15","Large East Village Apartment","Manhattan","Apartment","Entire home/apt",10009,3,0,"180",NA
5507963,"3/17/13","Quiet and green in Fort Greene","Brooklyn","Apartment","Entire home/apt",11217,2,1,"119",60
9113389,"9/29/13","2 APT DUPLX - Hinds Residential","Brooklyn","House","Entire home/apt",11233,8,17,"250",84
439809,"3/13/11","Cozy,Sunny & Modern nr Central Park","Manhattan","Apartment","Entire home/apt",10025,1,9,"195",100
24381419,"12/1/14","Ideal One Bedroom on UWS","Manhattan","Apartment","Entire home/apt",10025,1,6,"160",93
1204785,"9/24/11","2bdrm Luxury Apt Fort Greene Bklyn","Brooklyn","Apartment","Entire home/apt",11217,3,141,"175",90
835105,"7/18/11","1 BR/terrace Apt Boerum Hill BK!","Brooklyn","Apartment","Entire home/apt",11201,1,5,"200",96
